RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6619       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        05-Oct-2017 19:18:25
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6619
DATE_: 05-Oct-2017 19:18:25
TITLE: Pb (2 0.8 0) E scan
COMND: sc qh 2 0.8 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  2.0001, QK=  0.7994, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-67.8050, 
VARIA: A4      = 87.9600, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    2.0001    0.7994    0.0000    0.0002     3000    18968     19.72       27       25   1975326  87.9600 
   2    2.0000    0.8000    0.0000    0.4998     3000    20615     21.34        8       23   2138376  86.2970 
   3    2.0000    0.8000    0.0000    1.0002     3000    21312     22.24       13       24   2227683  84.7150 
   4    2.0000    0.7999    0.0000    1.4997     3000    24442     25.67       12       22   2569432  83.2100 
   5    2.0000    0.8000    0.0000    2.0002     3000    27008     28.00        8       28   2804167  81.7770 
   6    2.0000    0.7998    0.0000    2.4999     3000    27555     36.84       16       35   2833782  80.4020 
   7    2.0001    0.7999    0.0000    2.9997     3000    28755     29.64       22       38   2960936  79.0800 
   8    2.0000    0.8001    0.0000    3.5003     3000    28626     29.68       30       32   2974041  77.8050 
   9    1.9999    0.8000    0.0000    4.0000     3000    30560     33.71       70       27   3163564  76.5700 
  10    2.0000    0.8000    0.0000    4.5004     3000    36010     38.25       79       35   3771800  75.3770 
  11    2.0001    0.7997    0.0000    4.9999     3000    38512     40.17       40       26   4025874  74.2170 
  12    2.0000    0.8002    0.0000    5.5004     3000    35254     36.47       11       27   3656435  73.0900 
  13    2.0000    0.8000    0.0000    6.0007     3000    36690     37.52        2       31   3760913  71.9900 
  14    2.0000    0.8000    0.0000    6.4998     3000    37609     39.19        4       31   3929692  70.9170 
  15    1.9999    0.8002    0.0000    7.0004     3000    44464     46.23       10       48   4634045  69.8670 
  16    2.0001    0.7998    0.0000    7.4995     3000    53275     55.02        3       38   5516785  68.8400 
  17    2.0001    0.7999    0.0000    7.9999     3000    52616     54.57        9       43   5471428  67.8350 
  18    1.9999    0.8000    0.0000    8.4997     3000    55028     56.50       10       37   5666424  66.8420 
  19    2.0000    0.7999    0.0000    9.0000     3000    54684     60.00        7       42   5674065  65.8720 
  20    2.0000    0.7999    0.0000    9.5001     3000    53408     55.42       10       41   5550225  64.9150 
  21    1.9999    0.8001    0.0000    9.9998     3000    55723     57.55        8       39   5770045  63.9720 
