RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6622       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        05-Oct-2017 20:08:29
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6622
DATE_: 05-Oct-2017 20:08:29
TITLE: Pb (2 0.5 0) E scan
COMND: sc qh 2 0.5 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  2.0001, QK=  0.4995, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-62.3700, 
VARIA: A4      = 83.3050, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    2.0001    0.4995    0.0000    0.0002     3000    19141     19.72       35       29   1976598  83.3050 
   2    2.0000    0.5001    0.0000    0.5001     3000    19990     20.84        9       38   2088299  81.7670 
   3    2.0000    0.4999    0.0000    1.0002     3000    21415     22.18       16       49   2223730  80.2970 
   4    2.0000    0.4998    0.0000    1.4997     3000    24703     25.65        9       43   2569623  78.8950 
   5    1.9999    0.5000    0.0000    2.0002     3000    26045     26.82        8       61   2687154  77.5470 
   6    2.0000    0.5000    0.0000    2.4999     3000    26818     27.86        7       73   2792661  76.2570 
   7    2.0001    0.4999    0.0000    3.0002     3000    28068     29.32       28       54   2938582  75.0120 
   8    1.9999    0.5000    0.0000    3.4998     3000    29079     30.24       92       55   3029798  73.8000 
   9    2.0001    0.4999    0.0000    4.0000     3000    30708     31.92      117       61   3199330  72.6350 
  10    2.0000    0.5000    0.0000    4.5004     3000    36815     37.93       40       58   3800802  71.4950 
  11    2.0000    0.5000    0.0000    5.0005     3000    38325     42.83       12       71   3990170  70.3870 
  12    2.0000    0.4999    0.0000    5.5004     3000    35364     36.57        9       63   3665737  69.3070 
  13    2.0000    0.5002    0.0000    6.0001     3000    36375     37.58        7       63   3766190  68.2550 
  14    1.9999    0.5000    0.0000    6.5005     3000    38416     40.10        7       42   4019220  67.2150 
  15    2.0000    0.4999    0.0000    6.9997     3000    42951     44.29       11       40   4439215  66.2050 
  16    1.9999    0.5002    0.0000    7.5003     3000    49684     52.04        6       23   5215854  65.2100 
  17    2.0000    0.4999    0.0000    8.0007     3000    52187     54.11        8       29   5425910  64.2320 
  18    2.0000    0.5001    0.0000    8.5005     3000    54708     56.71        7       32   5686170  63.2720 
  19    2.0001    0.4998    0.0000    9.0000     3000    53846     63.90        5       33   5555628  62.3250 
  20    2.0000    0.5001    0.0000    9.5001     3000    53183     64.01        3       28   5529082  61.3900 
  21    2.0000    0.4998    0.0000    9.9998     3000    53048     55.30        8       28   5541845  60.4670 
